ID,AGE,EDUC,Gender,EARN,Job class
41249,44,4,2,44760,5
41262,35,6,1,44830,6
41287,34,4,1,44876,6
41291,31,3,2,44885,5
41317,57,2,1,44896,6
41330,36,6,2,44915,5
41376,43,4,1,45000,5
41381,33,3,1,45000,5
41406,39,3,1,45000,5
41417,38,3,2,45000,5
41441,37,4,1,45000,5
41451,39,5,1,45000,5
41454,56,3,1,45000,5
41458,37,5,1,45000,6
41526,50,4,1,45000,5
41529,30,5,1,45000,5
41537,33,3,1,45000,5
41540,50,6,2,45000,6
41544,28,4,1,45000,5
41547,30,4,1,45000,5
41555,58,5,1,45000,5
41566,34,5,1,45000,5
41567,42,3,1,45001,5
41572,36,4,2,45001,5
41593,36,3,1,45003,5
41600,32,4,2,45017,5
41602,47,4,1,45019,7
41603,53,4,2,45029,5
41614,39,3,1,45032,6
41656,42,4,2,45050,5
41661,41,4,1,45050,6
41665,30,4,2,45080,5
41673,42,3,1,45081,5
41713,41,5,1,45081,5
41718,53,5,1,45090,6
41726,52,3,1,45090,5
41735,33,4,1,45101,5
41750,54,4,1,45136,5
41765,32,5,1,45150,5
41771,50,4,2,45168,5
41782,48,4,2,45200,5
41784,58,6,1,45200,6
41815,30,6,2,45210,5
41833,49,5,1,45288,5
41843,45,3,1,45324,5
41865,51,3,1,45450,5
41880,50,3,1,45478,5
41884,28,3,1,45600,5
41921,47,5,2,45621,6
41924,31,4,1,45690,5
41954,57,3,1,45763,5
41994,64,4,1,45902,7
42013,41,5,1,45908,5
42022,53,3,1,46000,6
42062,60,5,1,46000,5
42080,60,3,2,46000,5
42088,44,3,2,46000,5
42091,43,4,1,46013,5
42094,59,3,1,46038,5
42116,32,5,1,46050,6
42117,28,5,1,46050,5
42136,35,4,2,46073,5
42156,37,3,1,46103,5
42174,37,4,1,46163,7
42181,35,6,2,46200,6
42202,57,3,1,46221,7
42255,37,5,2,46400,5
42256,56,4,1,46400,5
42268,62,6,2,46425,6
42278,37,3,2,46500,5
42282,34,5,2,46500,5
42287,50,4,1,46520,6
42311,42,3,1,46612,6
42345,59,3,1,46686,6
42357,34,5,2,46830,5
42371,50,5,2,46885,5
42373,46,4,1,46908,5
42383,47,4,1,46914,5
42404,33,5,2,46945,5
42414,45,4,1,47000,6
42424,44,1,1,47000,5
42438,35,3,1,47000,5
42452,38,5,2,47010,5
42453,36,5,1,47012,5
42471,50,3,1,47100,5
42474,45,6,1,47100,6
42505,28,6,2,47100,6
42512,43,4,1,47400,5
42516,40,4,1,47400,5
42529,31,3,2,47404,5
42578,48,4,1,47425,5
42584,62,6,1,47428,5
42667,44,3,2,47498,5
42697,26,6,1,47500,5
42736,35,3,1,47511,5
42823,51,5,1,47547,6
42891,35,3,1,47618,6
42918,49,5,1,47696,6
42933,60,3,1,47758,7
42948,59,5,2,47778,5
42949,28,5,1,47800,5
42997,60,4,1,47877,6
43012,56,3,1,48000,5
43018,44,3,2,48000,5
43060,38,6,2,48000,6
